"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"LBS","local_vegetal_products_consumed","K",334.531,355.3135,376.745,0,0
"LBS","local_vegetal_products_consumed","N",510.01875,524.5025,539.338,0,0
"LBS","local_vegetal_products_consumed","P",57.939,59.191,60.46,0,0
"LBS","manure_as_biogas_substrate","K",1656.691,2274.801,2967.04175,0,0.0083
"LBS","manure_as_biogas_substrate","N",2001.81725,2484.039,3137.8135,0,0
"LBS","manure_as_biogas_substrate","P",287.33575,412.718,564.1935,0,0.0126
"LBS","manure_export","K",970.5955,1592.2015,2156.61625,0,0.0676
"LBS","manure_export","N",800.85675,1364.314,1971.63425,0,0.0505
"LBS","manure_export","P",0,142.8015,312.435,0,0.2987
"LBS","manure_to_crop","K",1639.03975,2462.1175,3401.109,0.0053,0.0216
"LBS","manure_to_crop","N",2646.314,3428.787,4147.04875,0,0.0216
"LBS","manure_to_crop","P",308.26875,472.28,648.03225,0.0119,0.0216
"LBS","net_feed_import","K",0,0,0,0,1
"LBS","net_feed_import","N",0,0,0,0,1
"LBS","net_feed_import","P",0,0,0,0,1
"LBS","net_food_import","K",99.401,110.037,120.3945,0,0
"LBS","net_food_import","N",202.87575,263.2345,378.378,0,0
"LBS","net_food_import","P",19.017,19.603,20.205,0,0
"LBS","ofmsw","K",122.7375,135.279,147.91875,0,0
"LBS","ofmsw","N",228.67975,247.6835,267.24275,0,0
"LBS","ofmsw","P",30.0825,35.9355,42.06525,0,0
"LBS","ofmsw_residual_waste","K",16.89025,18.6335,20.40025,0,0
"LBS","ofmsw_residual_waste","N",31.90875,34.7015,37.746,0,0
"LBS","ofmsw_residual_waste","P",4.184,5.026,5.88525,0,0
"LBS","other_organic_fertilizer_export","K",1718.6285,1789.515,1862.78725,0,0
"LBS","other_organic_fertilizer_export","N",1951.7485,2177.104,2399.735,0,0
"LBS","other_organic_fertilizer_export","P",438.1305,489.1175,538.3595,0,0
"LBS","sewage","K",840.73275,876.557,911.9125,0,0
"LBS","sewage","N",1861.13975,1901.8825,1940.47175,0,0
"LBS","sewage","P",257.487,262.882,268.408,0,0
"LBS","sewage_sludge_export","K",15.06075,20.027,25.0435,0,0
"LBS","sewage_sludge_export","N",263.77575,406.464,550.15025,0,0
"LBS","sewage_sludge_export","P",222.731,227.8765,233.03825,0,0
"LBS","sewage_to_crop","K",0.92,1.224,1.531,0,0
"LBS","sewage_to_crop","N",16.1355,24.842,33.5995,0,0
"LBS","sewage_to_crop","P",13.605,13.9215,14.241,0,0
"LBS","slaughter_animal","K",91.3955,103.922,117.51075,0,0
"LBS","slaughter_animal","N",1173.77775,1330.8325,1502.8315,0,0
"LBS","slaughter_animal","P",235.508,268.449,304.37825,0,0
"LBS","slaughter_waste","K",28.72025,33.508,38.805,0,0
"LBS","slaughter_waste","N",367.29075,428.344,495.79425,0,0
"LBS","slaughter_waste","P",73.82175,86.5715,100.3945,0,0
"LBS","straw","K",222.85775,229.4055,235.87175,0,0
"LBS","straw","N",91.723,92.226,92.739,0,0
"LBS","straw","P",23.273,23.974,24.703,0,0
"LBS","vegetal_biogas_substrate","K",0,0,0,0,0.7685
"LBS","vegetal_biogas_substrate","N",798.3995,1192.9055,1598.34675,0,0
"LBS","vegetal_biogas_substrate","P",100.69225,163.822,234.008,0,0.0128
"LBS","wastewater_direct_discharge","K",429.006,447.1205,465.36725,0,0
"LBS","wastewater_direct_discharge","N",949.90375,970.062,989.94925,0,0
"LBS","wastewater_direct_discharge","P",131.358,134.1645,136.9315,0,0
"LBS","wastewater_effluent_gaseous_losses","K",819.831,855.1615,890.1505,0,0
"LBS","wastewater_effluent_gaseous_losses","N",1311.649,1470.005,1621.02175,0,0
"LBS","wastewater_effluent_gaseous_losses","P",18.80475,20.985,23.167,0,0
"CBS","animal_balance","K",0,0,0.006,0.0104,0.5358
"CBS","animal_balance","N",-1466.9685,0,0,0.4578,0.4409
"CBS","animal_balance","P",0,0,0.019,0,0.5498
"CBS","animal_housing_and_storage_losses","K",0,0,0,0,1
"CBS","animal_housing_and_storage_losses","N",1319.17875,1567.0105,1826.733,0,0
"CBS","animal_housing_and_storage_losses","P",0,0,0,0,1
"CBS","compost_to_consumption","K",39.963,43.414,46.88225,0,0
"CBS","compost_to_consumption","N",78.035,84.948,91.74125,0,0
"CBS","compost_to_consumption","P",13.62575,14.832,16.02,0,0
