"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"egg_and_dairy_N1","49","local_feed",25,10000,921142.327044403,175904.397414775,912216.064734928,915556.592142834,177017.011747659,292741.827075896,1616931.84099748,1324190.01392158,0.322458504095545,0.054012509153355,1759.04397414775
"egg_and_dairy_N2","50","normal",25,10000,1993806.89459722,375685.602614504,1968738.99412024,1978703.94284998,364062.672804757,825762.253436302,3934054.61979527,3108292.36635897,0.45207891538378,0.44705602883772,3756.85602614504
"local_vegetal_products_consumed_N1","51","local_feed",26,10000,519986.852973695,30354.2895138304,518996.064430407,519554.28046861,30467.445993268,421780.749894484,637908.142443065,216127.392548581,0.15334376717121,-0.02182688519912,303.542895138304
"local_vegetal_products_consumed_N2","52","normal",26,10000,519986.852973695,30354.2895138304,518996.064430407,519554.28046861,30467.445993268,421780.749894484,637908.142443065,216127.392548581,0.15334376717121,-0.02182688519912,303.542895138304
"imported_animal_products_N1","53","local_feed",27,10000,72138.6900048591,57086.6198925056,54067.7546024141,57995.7981205142,12816.6395428361,9118.3693392502,509990.265651776,500871.896312526,3.15892081614047,11.1371930670316,570.866198925056
"imported_animal_products_N2","54","normal",27,10000,17689.3550359777,11137.6773332933,17510.0652569645,17379.8771151509,12020.1305165231,0,61099.8556631268,61099.8556631268,0.235893961443673,-0.490938123188392,111.376773332933
"imported_vegetal_products_N1","55","local_feed",28,10000,198210.345843348,9232.9977741694,197945.186268598,198101.07908769,9189.60639473313,158100.454704971,245739.752237854,87639.297532883,0.122975538253542,0.082090487819275,92.329977741694
"imported_vegetal_products_N2","56","normal",28,10000,198210.345843348,9232.9977741694,197945.186268598,198101.07908769,9189.60639473313,158100.454704971,245739.752237854,87639.297532883,0.122975538253542,0.082090487819275,92.329977741694
"feed_from_processed_crops_N1","57","local_feed",29,10000,449192.582115013,43969.3244846252,448521.184950091,448885.095374074,43479.4825556504,289874.638981673,620737.324073597,330862.685091924,0.077268799141809,-0.011807050973739,439.693244846252
"feed_from_processed_crops_N2","58","normal",29,10000,449192.582115013,43969.3244846252,448521.184950091,448885.095374074,43479.4825556504,289874.638981673,620737.324073597,330862.685091924,0.077268799141809,-0.011807050973739,439.693244846252
"import_processed_feed_N1","59","local_feed",30,10000,0,0,0,0,0,0,0,0,NA,NA,0
"import_processed_feed_N2","60","normal",30,10000,8441605.73766204,1611966.76757954,8390753.40818971,8419465.71826926,1606916.58820685,3022280.94495407,16068383.0976623,13046102.1527082,0.153880720426516,0.050625360152198,16119.6676757954
"local_animal_products_consumed_N1","61","local_feed",31,10000,1417202.93034425,76106.032136814,1422542.19307553,1421004.0769859,67580.5881204762,956253.901467782,1690869.00300385,734615.101536068,-0.704701760450005,1.80109631636121,761.06032136814
"local_animal_products_consumed_N2","62","normal",31,10000,1471652.26531313,62131.5013052197,1470545.43351121,1470909.06949674,61884.3201554393,1253347.176253,1729832.359403,476485.18315,0.13278732110839,0.094230629745544,621.315013052197
"export_meat_N1","63","local_feed",32,10000,217508.695807535,201691.006238676,180171.915347574,192165.625344716,224423.507700506,0,1300092.33699209,1300092.33699209,0.970721235332953,0.7019380601445,2016.91006238676
"export_meat_N2","64","normal",32,10000,1081556.77943995,396391.1625091,1048414.80525735,1063195.99704034,381708.979248351,0,3320388.42348,3320388.42348,0.519992337832902,0.518036127333193,3963.911625091
"import_meat_N1","65","local_feed",33,10000,20431.174819237,55285.295667481,0,4625.58591652884,0,0,456774.222221185,456774.222221185,3.32081055152887,11.9560791392384,552.85295667481
